,Cluster,Companies,ATR
0,0,INTC,0.869434884202456
1,0,KO,0.6002669778015446
2,0,VZ,0.5974238554261435
3,0,CSCO,0.6563203895017191
4,0,WMT,0.5173230440683353
5,1,AXP,2.2233559745132836
6,1,V,2.6566984296298397
7,1,DIS,2.228464003103169
8,1,HON,2.3397595618863734
9,1,TRV,2.0154011064053856
10,1,MCD,2.360120789536736
11,2,CRM,3.668456238001145
12,3,GS,4.749209673041545
13,4,BA,5.286799811059352
14,5,UNH,5.045566214041082
15,6,JPM,1.8129160215365503
16,6,NKE,1.721018459641095
17,6,JNJ,1.7090576994431705
18,6,MMM,1.8102686866394413
19,7,AMGN,3.4420796474759046
20,8,MSFT,2.9615915465192773
21,9,IBM,1.8711836944411084
22,10,CAT,3.006055009460372
23,11,HD,3.5053714079169516
24,12,AMZN,2.090957914163632
25,12,AAPL,1.6363208440658032
26,13,PG,1.4091388920400503
27,13,MRK,1.0919217924583602
28,14,CVX,1.9856882477833921
